countryName,2013,2014,2015,2016,2017,2018,tot
Algeria,5720,6035,7630,11185,9240,9185,48995
Angola,1070,995,730,1100,1565,1890,7350
Benin,285,440,630,600,545,365,2865
Botswana,15,40,20,20,40,45,180
Burkina Faso,550,675,860,1290,1375,715,5465
Burundi,200,135,485,675,665,930,3090
Cameroon,1690,2320,3345,4890,5810,5100,23155
Cape Verde,10,15,15,15,10,20,85
Central African Republic,410,980,1020,1380,590,635,5015
Chad,650,590,620,700,930,1100,4590
Comoros,725,775,530,300,410,435,3175
Congo,1100,970,1650,1415,1750,1415,8300
Côte d'Ivoire,2290,3240,5580,11200,14025,8445,44780
Democratic Republic of the Congo,7505,6790,5750,5165,6755,6775,38740
Djibouti,220,255,270,185,185,150,1265
Egypt,5050,3685,3450,4530,4465,4415,25595
Equatorial Guinea,35,50,35,75,55,65,315
Eritrea,13920,36250,33115,33370,24375,14945,155975
Ethiopia,1940,2630,5525,6075,3915,3135,23220
Gabon,55,80,135,270,465,400,1405
Ghana,2145,3965,5585,7780,6685,2710,28870
Guinea,5565,5280,5480,13465,17765,13295,60850
Guinea-Bissau,560,885,1195,1260,1325,620,5845
Kenya,370,410,415,425,485,630,2735
Lesotho,0,5,5,0,5,5,20
Liberia,170,245,285,545,650,380,2275
Libya,1730,3065,4800,4330,4475,4320,22720
Madagascar,145,110,105,85,140,140,725
Malawi,245,210,230,170,140,135,1130
Mali,6425,12790,8295,9450,10320,6230,53510
Mauritania,1550,1055,1325,910,1010,1335,7185
Mauritius,140,85,115,130,115,110,695
Morocco,3565,3825,5435,11195,7820,7510,39350
Mozambique,5,20,10,25,40,30,130
Namibia,20,40,40,50,120,345,615
Niger,295,430,475,610,710,405,2925
Nigeria,10190,18895,30000,46245,39185,22120,166635
Rwanda,500,560,450,530,510,605,3155
Sao Tome,0,5,0,0,5,5,15
Senegal,2790,6260,8855,9510,10250,5265,42930
Seychelles,5,5,5,10,0,0,25
Sierra Leone,720,855,895,1850,2455,1280,8055
Somalia,14715,14805,19610,18975,12745,11305,92155
South Africa,120,175,210,210,265,395,1375
South Sudan,40,105,120,170,170,155,760
Sudan,2980,6005,10920,11070,9205,8185,48365
Swaziland,15,55,30,10,10,15,135
Tanzania,170,175,150,190,215,250,1150
The Gambia,3360,11315,12185,15725,12495,4240,59320
Togo,660,670,955,1300,1345,855,5785
Tunisia,2230,2100,2030,2315,1885,2990,13550
Uganda,770,790,795,660,460,690,4165
Zambia,50,55,55,45,45,45,295
Zimbabwe,565,500,495,805,795,620,3780
